               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088945,             0.03281,                   0,             0.03114,            0.037838,            0.013109,            0.002767,            0.063128,            0.024437,                   0,              0.0018,              0.0018,              0.0838
                   1,            0.070359,            0.030739,                   0,             0.16999,             0.37838,             0.11864,            0.033051,            0.048263,            0.019268,                   0,           0.0036817,           0.0036817,            0.066682
                   2,            0.060199,            0.028757,                   0,             0.26702,             0.48649,             0.25622,            0.060889,            0.038076,            0.016362,                   0,           0.0055446,           0.0055446,            0.049545
                   3,            0.050269,            0.025459,                   0,             0.36937,             0.49392,             0.32935,            0.086535,            0.042704,             0.01275,                   0,           0.0073886,           0.0073886,            0.032389
                   4,            0.046039,            0.023619,                   0,             0.49115,             0.30811,             0.31034,            0.092901,            0.029189,            0.011662,                   0,           0.0092139,           0.0092139,            0.015214
                   5,            0.046537,            0.023717,                   0,             0.42546,             0.48108,             0.36538,             0.12802,            0.030426,            0.010915,                   0,           0.0097525,           0.0097525,           0.0097525
                   6,            0.038453,              0.0247,                   0,             0.29676,             0.51781,               0.312,              0.1007,            0.031728,             0.01072,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.036133,             0.02437,                   0,             0.33347,             0.51351,             0.29761,            0.084517,            0.026697,            0.011247,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.042646,            0.024693,                   0,             0.31383,             0.32432,               0.266,            0.075594,            0.029854,            0.012907,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.036733,            0.025862,                   0,             0.21096,             0.36216,             0.18199,            0.051826,            0.028167,            0.012904,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.038469,            0.024884,                   0,             0.21166,             0.42162,             0.18059,            0.052565,            0.028181,             0.01171,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.036886,            0.024894,                   0,             0.25764,             0.54591,             0.25181,            0.074991,            0.025681,            0.011712,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.033529,            0.026139,                   0,             0.21853,             0.45946,             0.19307,            0.057258,             0.02674,            0.012399,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.033944,            0.025065,                   0,             0.16629,             0.23784,             0.11387,            0.028116,            0.031143,            0.013113,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.030492,            0.023673,                   0,             0.10228,             0.31892,            0.068329,             0.01656,            0.033191,            0.013455,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.029982,            0.024377,                   0,             0.16362,             0.29608,             0.11825,            0.028413,            0.028388,            0.013327,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.028037,            0.023026,                   0,             0.24381,             0.53514,             0.22873,             0.06358,            0.021437,            0.011931,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.029433,            0.024789,                   0,             0.24332,                 0.6,              0.2391,            0.080229,            0.020658,            0.012039,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.030064,            0.025711,                   0,             0.27357,             0.64324,             0.27555,            0.090563,            0.023013,            0.011466,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.027391,            0.024885,                   0,             0.34605,             0.63784,             0.32636,             0.10549,            0.020528,             0.01153,                   0,            0.009109,            0.009109,            0.009109
                  20,             0.03003,              0.0248,                   0,              0.3102,             0.57297,             0.29498,            0.096949,            0.021449,             0.01158,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.029573,            0.025004,                   0,             0.35214,             0.59459,             0.31668,             0.10272,            0.019778,            0.011394,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.023545,            0.023703,                   0,             0.45403,             0.53942,             0.40053,             0.13835,            0.019159,            0.011357,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.02915,            0.023222,                   0,              0.4057,              0.5978,             0.36232,             0.13048,            0.018253,            0.011389,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.027326,             0.02284,                   0,             0.39014,             0.72432,             0.40503,             0.15756,            0.021307,            0.010696,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.031817,             0.02362,                   0,             0.42728,             0.62508,             0.38984,             0.15268,            0.018562,             0.01083,                   0,            0.008812,            0.008812,            0.008812
                  26,             0.02547,            0.022992,                   0,             0.42635,             0.67492,             0.42354,             0.15788,            0.020436,            0.010439,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.025182,            0.024589,                   0,             0.39895,              0.7027,             0.42334,             0.14814,            0.017703,            0.010999,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.029234,            0.023933,                   0,             0.42413,             0.63243,             0.43193,             0.15956,            0.020306,            0.010788,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.024595,            0.023884,                   0,             0.36418,             0.65327,              0.3608,             0.13085,            0.018212,            0.011027,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.026014,            0.022801,                   0,             0.35362,             0.71351,             0.36953,             0.13078,            0.017856,            0.011215,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.020601,             0.02231,                   0,              0.4538,              0.6467,             0.45507,             0.18722,            0.016662,            0.010776,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.024652,            0.024428,                   0,             0.50729,             0.59459,             0.49447,             0.19312,            0.016177,            0.010462,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.023156,            0.022828,                   0,              0.4548,             0.62162,             0.42485,             0.17787,            0.016086,            0.010298,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.025154,            0.024754,                   0,             0.56984,             0.62703,             0.53044,             0.19367,            0.017096,             0.00975,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.021654,            0.022748,                   0,             0.54489,             0.74054,             0.61107,             0.28331,            0.015291,           0.0097978,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.025958,            0.023715,                   0,             0.50849,             0.73816,             0.58925,             0.26989,            0.015499,           0.0097772,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.020374,            0.023917,                   0,             0.45712,              0.7601,              0.5132,             0.23704,             0.01637,           0.0099962,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.025992,            0.023417,                   0,             0.53612,             0.67471,             0.55296,             0.25172,            0.014964,            0.010066,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.025089,            0.022608,                   0,             0.60151,             0.58378,              0.5631,             0.24698,            0.016063,           0.0098175,                   0,            0.008119,            0.008119,            0.008119
                  40,             0.02595,            0.022865,                   0,             0.61721,             0.67982,             0.67445,             0.29278,            0.015874,           0.0096817,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027605,             0.02216,                   0,             0.63649,             0.63784,             0.68333,             0.31377,            0.017026,           0.0094994,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.02425,            0.023396,                   0,              0.6528,             0.62162,             0.65838,             0.33833,            0.015534,           0.0093534,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.019986,            0.023347,                   0,             0.50443,             0.71892,             0.59124,               0.299,            0.015984,           0.0095313,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.02208,            0.021679,                   0,             0.55457,             0.57297,             0.56005,             0.27539,            0.016026,           0.0097342,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.022207,            0.022119,                   0,              0.4996,             0.68539,               0.564,             0.25913,            0.016573,           0.0096885,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.025207,            0.022175,                   0,             0.45951,             0.71892,             0.49232,             0.21538,            0.015346,            0.010007,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.022019,            0.023635,                   0,             0.52179,             0.70187,             0.58622,             0.25769,            0.016616,           0.0097035,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.024975,            0.022896,                   0,             0.54063,             0.72432,             0.63064,             0.27789,            0.016033,           0.0096521,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.023197,            0.022495,                   0,             0.57573,             0.71351,             0.63641,             0.25518,            0.016051,           0.0096793,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.024723,            0.021497,                   0,             0.46042,             0.72876,             0.56921,             0.22476,            0.015545,           0.0096246,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.022508,            0.022561,                   0,             0.58954,             0.64865,             0.64051,             0.30452,             0.01497,           0.0092789,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.022317,            0.021875,                   0,             0.45431,             0.76954,             0.54646,             0.27123,            0.014418,           0.0094058,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.020954,            0.022297,                   0,             0.39152,             0.78378,             0.42235,             0.20291,             0.01534,           0.0096176,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.019951,            0.021231,                   0,             0.53377,             0.68108,             0.59473,             0.30741,            0.014284,           0.0093318,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.024555,            0.022419,                   0,             0.51352,             0.71892,             0.63345,             0.29487,            0.013489,            0.009376,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.024638,            0.023357,                   0,             0.57198,             0.67901,             0.64616,             0.30604,            0.013594,           0.0090259,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.018659,            0.022071,                   0,             0.56719,             0.71351,             0.63862,             0.30774,            0.013725,           0.0090002,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.021127,            0.021081,                   0,             0.52607,             0.75676,             0.61253,             0.28278,            0.014687,           0.0089017,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.021889,            0.021181,                   0,             0.47387,             0.68647,             0.57446,             0.26839,             0.01499,           0.0092068,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.024529,            0.020956,                   0,             0.51151,             0.60541,             0.56981,             0.24761,            0.013978,           0.0093883,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.020848,            0.020515,                   0,             0.54311,             0.65405,              0.6318,              0.3209,            0.015529,           0.0091257,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.020348,            0.020288,                   0,             0.59964,             0.69189,               0.681,             0.36819,            0.014056,           0.0088761,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.018092,            0.021703,                   0,             0.62445,             0.72973,             0.70262,             0.38001,            0.013907,            0.008416,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.020862,            0.021147,                   0,             0.59173,             0.77297,             0.72367,             0.39303,             0.01323,           0.0086894,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,             0.02502,            0.022221,                   0,             0.73414,             0.73514,             0.79552,             0.44668,            0.012553,           0.0082276,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.023349,            0.020571,                   0,             0.69894,             0.80541,              0.8245,             0.44857,            0.012454,           0.0081551,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.022457,            0.020841,                   0,             0.64173,             0.77838,               0.748,              0.3838,            0.012386,           0.0083573,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.024922,            0.021095,                   0,             0.48828,             0.79431,             0.61512,             0.32842,            0.013223,           0.0085124,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.021235,            0.020832,                   0,             0.45937,             0.77838,             0.52644,             0.27233,             0.01168,           0.0087107,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.019656,            0.020733,                   0,             0.50262,             0.76757,             0.60791,             0.32311,             0.01259,           0.0087054,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023119,            0.021171,                   0,             0.63233,                 0.8,             0.75815,             0.44869,            0.011596,           0.0080372,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.019583,            0.022068,                   0,             0.76156,             0.77691,             0.83088,             0.47822,            0.013006,           0.0077464,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.024389,            0.019095,                   0,             0.74106,             0.80442,             0.85028,             0.49735,            0.013063,           0.0075685,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.022009,            0.020382,                   0,             0.69355,                 0.8,             0.79747,             0.42233,            0.012412,           0.0079327,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.019071,            0.019796,                   0,               0.676,             0.76757,              0.7545,             0.39213,             0.01223,           0.0081501,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.020517,             0.02005,                   0,             0.65673,             0.83767,             0.80576,             0.44164,            0.012754,           0.0079136,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,             0.01943,            0.019534,                   0,             0.70393,             0.76216,             0.79996,             0.44442,            0.013175,           0.0080225,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.021565,            0.020657,                   0,             0.66458,             0.79256,             0.80237,             0.45215,            0.012546,           0.0078617,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.019407,            0.019429,                   0,              0.6657,             0.79459,             0.78692,             0.46367,            0.012318,           0.0077848,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.017979,            0.019229,                   0,             0.66474,             0.78239,             0.73819,             0.45137,            0.012089,           0.0078794,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.018924,            0.021286,                   0,              0.6096,              0.7934,             0.70652,             0.43867,            0.012243,           0.0078259,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.022744,            0.019964,                   0,             0.78917,              0.7891,             0.84851,             0.53695,            0.012477,           0.0074349,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.018021,            0.020779,                   0,             0.71409,             0.86486,             0.84863,             0.52345,            0.012023,           0.0073657,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.021098,            0.020496,                   0,             0.74122,             0.76757,              0.8164,             0.48847,            0.011777,           0.0077671,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.024628,            0.020601,                   0,             0.62243,             0.80541,             0.75688,             0.42976,            0.012253,            0.007956,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.020763,            0.018857,                   0,             0.63255,             0.66998,             0.67988,             0.36008,            0.012377,           0.0082935,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.020036,            0.018246,                   0,             0.69285,              0.6973,             0.71368,             0.39869,            0.012002,           0.0079833,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.020673,            0.020841,                   0,             0.73925,             0.76625,             0.80913,             0.49247,            0.011223,           0.0076057,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.018612,            0.018839,                   0,             0.72798,              0.8101,             0.81203,             0.50716,            0.011967,           0.0074406,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.017053,            0.018981,                   0,             0.78195,             0.85292,             0.86313,             0.55768,            0.011077,           0.0068489,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.017534,             0.01995,                   0,             0.78345,             0.82134,             0.84836,             0.55582,            0.011044,           0.0067121,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.017474,            0.018501,                   0,              0.7083,             0.84324,             0.79047,             0.45453,            0.011634,           0.0070143,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020638,            0.019922,                   0,             0.73014,             0.90811,             0.87835,             0.54844,            0.011039,           0.0067518,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.018178,            0.017757,                   0,             0.79722,              0.9027,             0.89565,             0.58051,            0.011121,           0.0066241,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.019486,            0.019561,                   0,             0.78095,             0.84794,             0.86506,             0.52178,            0.011021,           0.0066955,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.018897,            0.019598,                   0,             0.75514,             0.88354,             0.88885,             0.56866,            0.010758,            0.006584,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.016599,            0.018181,                   0,             0.82714,             0.87944,             0.93225,             0.60736,            0.010968,           0.0065713,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.016582,            0.019963,                   0,             0.83788,              0.9027,             0.93495,             0.59565,            0.011053,           0.0066951,                   0,           0.0051985,           0.0051985,           0.0051985
